file_name,subregions_id,bkg_median,bkg_mean,bkg_std,density,object_median,object_mean,object_std
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,4,99.9379997253418,99.41734300649232,4.0173384920400865,0.0036237243011388847,100.5,107.65001479071144,150.79336631441728
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,5,104.3123779296875,104.06745031874075,3.409426640454123,0.0059871387390051005,113.5,121.14971542612166,87.62701540151208
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,6,94.6881217956543,93.79257282493488,5.595618537796337,0.0031060494009761868,99.0,113.87638662919686,276.59371077605954
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,7,90.52713775634766,90.1945516970255,5.756789126755412,0.0038441635248022475,91.0,96.02875730021438,53.62502797066637
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,8,97.03314971923828,96.53193836004823,1.6229020965975143,0.004510833394956741,98.5,109.00920653701102,149.33523580454116
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,9,88.83117294311523,88.99717662623263,2.4822461556836153,0.004008313539192399,91.5,99.30188539192399,117.04086783713628
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,10,89.99516296386719,89.31561177404058,2.2556402599935215,0.0021368472599385658,90.5,95.11908471709033,110.79816285387852
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,11,80.38555908203125,80.35738449808125,4.410332176619107,0.0021314387211367673,82.0,86.51434280639431,76.45353229693329
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,12,80.53966522216797,80.13685180139557,4.959595673623277,0.002753475152107297,81.5,86.35404361149354,61.53190647698491
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,13,103.06398010253906,100.3567930003287,7.637833522211432,0.004573915360362361,105.0,113.85143656467872,135.7841091290762
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,14,94.8135986328125,95.46632291847268,8.717323536650474,0.0024867889337892445,97.5,100.98752164838581,50.0188844810053
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,15,75.92672729492188,76.68783713392892,6.081472118089512,0.002708823660020427,78.5,81.90841067542964,48.4403135742735
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,16,74.75352478027344,75.09486153843973,4.76916229756674,0.0033752276058089444,76.5,80.77055113913931,43.658586568143186
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,17,93.08100128173828,91.61275636730566,5.450782125913145,0.005284191829484902,97.0,105.78556838365897,131.88504694915176
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,18,83.0698013305664,83.31859383512806,1.8289343847741661,0.0028936473311668076,84.0,89.2192939500512,85.32159291737649
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,19,91.01810455322266,89.95234786707456,3.7252088122966076,0.0017164107943167732,92.0,94.19546422554909,37.60227262132675
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,20,69.72465515136719,70.506053374365,5.272651661218362,0.001903613693327834,71.5,74.31047939338177,38.352525729741075
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,21,69.49874114990234,71.03450761941856,5.17278857424637,0.003077606447109588,73.0,84.69254077035345,204.19070463948486
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,22,95.94099426269531,94.59252225083783,8.094946670427783,0.00390240807132206,98.0,106.52314476982137,185.075135197881
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,23,82.8971176147461,82.92196010787507,8.173869173502293,0.0021577026812628908,84.5,90.8903220688561,146.04199756608767
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,24,64.4051513671875,64.4441922368531,3.6423736680188346,0.0017132523239950506,65.5,67.61596180081855,33.83267243776589
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,25,63.780988693237305,63.99174560318366,3.5426164430053073,0.0020940415000951836,65.5,68.52328827971319,46.003592667403204
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,26,87.09233093261719,84.95530793294601,7.661826303662075,0.004441765284431613,88.5,95.04778070370253,100.00384507380701
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,27,79.42753601074219,79.97265323786722,2.5289689881140673,0.002193191570515877,80.5,85.00915419090302,94.95535971345011
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,28,94.65617370605469,87.73999093639999,15.430837992662203,0.0016808799901124707,96.5,98.39920899765171,42.12485437589702
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,29,62.55668258666992,60.08364695957433,12.180633291778847,0.0015305618643230968,65.5,67.51925545571245,33.31742993646803
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,30,63.65247344970703,64.69553328536348,8.30367096260616,0.001950376496728799,66.5,70.10339464263672,73.23289446741784
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,31,80.81344604492188,70.92441276641543,26.49568761585886,0.002295162882527147,86.5,97.73964708785785,251.37103277208394
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,32,75.63281631469727,72.72755097147679,12.193438806673836,0.0015573243684184506,75.0,75.76114846492312,34.179639721183065
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,33,59.55215072631836,55.48214226471589,13.656699062141227,0.0018015794669299112,61.0,63.7093163869694,71.45317733080815
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,34,59.52378845214844,56.83176193086619,8.474525724523092,0.0021231946673250218,59.5,62.697716331317125,66.06399938157409
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,35,79.63662338256836,77.85966139521523,14.861521494417625,0.004073269477634048,85.0,91.00588772588131,73.39948043277525
F:/github/scripts/imsges2/XJCAM_20180120230100_1.cr2img.fits,36,82.00487518310547,80.59928066605853,10.639526401582058,0.001903349400568533,82.5,85.72962550982574,51.54168879597209
